Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
420610 GRAO PARA,-,-,-,-,-,-,-,1,-,-,-,-,1
420620 GRAVATAL,-,-,-,-,-,-,4,-,-,-,-,-,4
420630 GUABIRUBA,-,-,2,6,4,10,32,16,1,2,2,-,75
420640 GUARACIABA,-,1,-,-,1,-,1,1,1,-,-,-,5
420650 GUARAMIRIM,-,-,1,3,2,2,16,8,4,-,2,-,38
420660 GUARUJA DO SUL,-,-,-,-,1,-,2,2,-,1,-,1,7
420670 HERVAL D'OESTE,-,-,-,-,2,-,3,3,1,-,-,-,9
420690 IBIRAMA,-,-,-,2,1,1,1,2,4,-,1,-,12
420700 ICARA,-,-,-,-,1,1,4,1,2,2,-,-,11
420710 ILHOTA,-,-,-,3,2,-,10,8,1,-,1,-,25
420720 IMARUI,-,-,-,-,-,-,-,4,2,-,-,-,6
420730 IMBITUBA,-,-,1,1,1,-,7,12,1,2,-,-,25
420740 IMBUIA,-,-,-,2,1,-,1,1,-,-,-,-,5
420750 INDAIAL,-,-,3,1,4,7,12,12,2,3,-,-,44
420760 IPIRA,-,-,-,1,-,-,8,5,-,-,-,-,14
420765 IPORA DO OESTE,-,-,-,-,-,-,2,1,-,-,-,-,3
420768 IPUACU,-,-,-,-,-,-,1,-,-,-,-,-,1
420775 IRACEMINHA,-,-,-,-,-,-,-,2,-,-,-,-,2
420780 IRANI,-,-,-,-,-,-,-,2,-,-,-,-,2
420785 IRATI,-,-,1,1,2,-,9,4,-,-,-,-,17
420790 IRINEOPOLIS,-,-,-,1,1,-,3,1,-,-,-,-,6
420800 ITA,-,-,-,-,-,2,6,1,-,1,-,-,10
420810 ITAIOPOLIS,-,-,-,1,1,1,1,-,-,-,-,-,4
420820 ITAJAI,-,41,60,206,305,394,2046,1416,215,144,159,52,5038
420830 ITAPEMA,-,14,16,69,106,134,623,487,89,70,87,32,1727
420840 ITAPIRANGA,-,1,1,5,13,14,45,54,7,4,5,1,150
420845 ITAPOA,-,2,2,6,4,3,31,37,10,4,8,4,111
420850 ITUPORANGA,-,-,-,-,-,1,1,2,-,-,-,-,4
420860 JABORA,-,-,-,-,-,-,-,-,-,-,1,-,1
420880 JAGUARUNA,-,1,-,-,-,-,4,-,1,-,-,-,6
420890 JARAGUA DO SUL,-,2,2,4,5,11,63,63,12,10,6,-,178
420895 JARDINOPOLIS,-,-,-,1,2,2,12,9,5,2,2,1,36
420900 JOACABA,-,-,-,-,-,-,4,2,-,1,-,-,7
420910 JOINVILLE,-,129,703,1935,2606,3716,17129,12578,2029,1540,1770,546,44681
420915 JOSE BOITEUX,-,-,-,-,2,-,-,1,-,-,-,-,3
420917 JUPIA,-,-,-,-,-,-,1,-,-,-,-,-,1
420930 LAGES,-,-,-,-,2,1,7,10,3,3,3,-,29
420940 LAGUNA,-,-,-,1,-,2,2,4,-,-,-,-,9
420950 LAURENTINO,-,-,-,-,-,-,1,2,-,-,-,-,3
420960 LAURO MULLER,-,-,-,-,-,-,1,3,1,-,-,-,5
420985 LINDOIA DO SUL,-,-,-,-,-,1,-,1,-,-,-,-,2
420990 LONTRAS,-,-,-,-,-,-,2,1,-,-,-,-,3
421000 LUIZ ALVES,-,-,-,1,1,-,6,3,-,-,-,1,12
421003 LUZERNA,-,-,-,-,-,1,1,2,-,-,-,-,4
421010 MAFRA,-,-,1,1,1,1,9,2,-,-,-,-,15
421020 MAJOR GERCINO,-,-,-,1,-,-,-,-,-,-,-,-,1
421030 MAJOR VIEIRA,-,-,-,-,-,-,1,-,-,-,-,1,2
421040 MARACAJA,-,-,-,2,-,-,-,1,-,-,-,-,3
421050 MARAVILHA,-,-,-,2,2,1,5,4,-,-,1,1,16
421060 MASSARANDUBA,-,-,1,-,2,1,4,2,-,-,-,1,11
421080 MELEIRO,-,-,-,-,-,1,-,-,-,-,-,-,1
421090 MODELO,-,-,-,-,-,1,1,3,-,-,1,-,6
421100 MONDAI,-,1,1,-,-,-,3,3,-,-,1,-,9
421110 MONTE CASTELO,-,-,-,-,-,-,-,2,-,1,-,-,3
421120 MORRO DA FUMACA,-,-,-,-,-,-,2,-,-,-,-,-,2
421125 MORRO GRANDE,-,-,-,-,-,-,1,-,-,-,-,-,1
421130 NAVEGANTES,-,14,33,93,163,176,720,479,94,48,40,12,1872
421140 NOVA ERECHIM,-,-,-,-,-,-,-,2,-,-,-,-,2
421145 NOVA ITABERABA,-,-,-,1,-,1,-,1,-,1,-,-,4
421150 NOVA TRENTO,-,1,1,1,4,1,28,18,4,-,1,-,59
421160 NOVA VENEZA,-,-,1,1,-,-,2,2,-,-,-,-,6
421170 ORLEANS,-,-,-,-,-,-,2,3,-,-,-,-,5
421175 OTACILIO COSTA,-,-,-,-,-,-,-,-,-,1,-,-,1
421185 OURO VERDE,-,-,-,-,-,-,-,1,-,-,-,-,1
421189 PAINEL,-,-,-,-,-,-,-,1,-,-,-,-,1
421190 PALHOCA,4,100,320,825,1017,1056,4851,3341,494,362,347,85,12802
421205 PALMEIRA,-,-,-,-,-,-,2,-,-,-,-,-,2
421210 PALMITOS,-,-,1,5,3,3,13,9,3,1,1,2,41
421220 PAPANDUVA,-,-,-,-,-,-,1,2,-,1,1,-,5
421225 PASSO DE TORRES,-,-,-,2,-,-,1,1,-,-,-,-,4
421230 PAULO LOPES,-,-,3,6,7,7,31,27,4,1,1,-,87
421250 PENHA,-,6,8,22,40,44,194,180,33,27,17,3,574
421260 PERITIBA,-,-,-,-,-,-,2,1,-,-,1,-,4
421265 PESCARIA BRAVA,1,-,-,-,-,1,-,1,1,-,-,-,4
421270 PETROLANDIA,-,-,-,-,-,-,-,1,-,-,-,-,1
421280 BALNEARIO PICARRAS,-,4,10,30,38,45,193,182,35,22,31,8,598
421290 PINHALZINHO,-,-,-,2,1,4,17,16,2,4,2,1,49
421310 PIRATUBA,-,-,-,-,-,-,3,2,-,-,-,-,5
421315 PLANALTO ALEGRE,-,-,-,-,1,-,-,1,-,-,-,-,2
421320 POMERODE,-,-,-,1,-,2,13,8,-,-,-,-,24
421350 PORTO BELO,-,2,7,27,44,54,268,219,48,28,28,2,727
421360 PORTO UNIAO,-,-,-,-,-,-,3,4,1,-,1,-,9
421370 POUSO REDONDO,-,-,-,-,-,1,3,3,-,-,-,-,7
421380 PRAIA GRANDE,-,-,-,-,-,-,-,3,-,-,-,-,3
421400 PRESIDENTE GETULIO,-,1,-,-,-,1,3,1,-,-,-,-,6
421420 QUILOMBO,-,1,3,19,24,32,113,121,15,11,14,1,354
421430 RANCHO QUEIMADO,-,-,-,1,-,-,-,-,1,-,1,-,3
421450 RIO DO CAMPO,-,-,1,-,-,-,1,-,-,-,-,-,2
421460 RIO DO OESTE,-,-,-,-,-,-,-,1,-,-,1,-,2
421470 RIO DOS CEDROS,-,-,-,1,1,-,1,-,-,1,-,-,4
421480 RIO DO SUL,-,-,-,1,1,1,14,10,4,-,4,-,35
421490 RIO FORTUNA,-,-,-,-,-,-,2,1,-,-,-,-,3
421500 RIO NEGRINHO,-,-,-,-,-,-,3,3,-,-,1,-,7
421507 RIQUEZA,-,-,-,-,-,1,-,2,1,-,-,-,4
421510 RODEIO,-,-,-,-,-,1,2,2,-,-,1,-,6
421520 ROMELANDIA,-,-,-,-,-,-,-,-,1,-,-,-,1
421530 SALETE,-,-,-,-,-,-,3,-,-,-,-,-,3
421545 SANGAO,-,-,-,-,1,-,1,-,-,-,-,-,2
421550 SANTA CECILIA,-,-,-,-,-,-,-,1,-,-,-,-,1
421555 SANTA HELENA,-,-,-,-,-,-,-,1,-,-,-,-,1
421560 SANTA ROSA DE LIMA,-,-,-,-,-,-,1,-,-,-,-,-,1
421565 SANTA ROSA DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
421567 SANTA TEREZINHA,-,-,-,-,-,-,1,1,-,-,-,-,2
421568 SANTA TEREZINHA DO PROGRESSO,-,-,-,-,-,-,1,-,-,-,-,-,1
421569 SANTIAGO DO SUL,-,-,-,-,1,3,3,6,2,1,-,-,16
421570 SANTO AMARO DA IMPERATRIZ,-,1,13,20,27,34,162,110,17,16,22,7,429
421580 SAO BENTO DO SUL,-,3,1,2,1,1,9,11,2,2,4,1,37
421590 SAO BONIFACIO,-,-,2,-,-,-,1,1,1,-,-,-,5
421600 SAO CARLOS,-,-,1,-,1,4,9,10,1,2,2,1,31
421605 SAO CRISTOVAO DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
421610 SAO DOMINGOS,-,-,-,1,-,-,3,6,1,1,-,-,12
421620 SAO FRANCISCO DO SUL,-,15,35,86,112,157,591,601,121,112,112,27,1969
421625 SAO JOAO DO OESTE,-,1,-,3,1,2,26,21,3,1,5,2,65
421630 SAO JOAO BATISTA,-,2,3,8,10,13,69,59,9,7,5,-,185
421635 SAO JOAO DO ITAPERIU,-,-,-,1,-,1,1,5,-,1,1,-,10
421640 SAO JOAO DO SUL,-,-,-,-,-,-,2,-,-,-,-,-,2
421650 SAO JOAQUIM,-,-,-,-,-,-,1,-,-,1,-,-,2
421660 SAO JOSE,4,61,278,696,913,947,4996,3997,625,538,595,231,13881
421670 SAO JOSE DO CEDRO,-,-,-,-,-,-,4,2,1,2,-,-,9
421690 SAO LOURENCO DO OESTE,-,-,-,-,-,-,2,5,1,1,-,2,11
421700 SAO LUDGERO,-,-,1,-,4,8,12,18,7,2,1,-,53
421710 SAO MARTINHO,-,-,-,-,-,-,-,1,-,-,-,-,1
421720 SAO MIGUEL DO OESTE,-,-,-,-,-,-,5,5,1,-,2,-,13
421725 SAO PEDRO DE ALCANTARA,-,-,4,5,9,5,43,51,5,2,3,2,129
421730 SAUDADES,-,1,2,18,17,35,155,139,36,39,17,13,472
421740 SCHROEDER,-,-,-,1,-,-,4,2,1,-,-,-,8
421750 SEARA,-,-,-,-,3,2,9,3,1,1,-,-,19
421760 SIDEROPOLIS,-,-,-,-,-,-,1,-,-,-,-,-,1
421770 SOMBRIO,-,-,1,2,1,4,20,16,2,-,4,-,50
421775 SUL BRASIL,-,-,-,-,-,-,-,1,-,-,-,-,1
421780 TAIO,-,-,-,-,1,1,2,-,-,-,-,-,4
421790 TANGARA,-,-,-,-,-,-,-,-,-,1,1,-,2
421795 TIGRINHOS,-,-,-,-,1,-,1,-,-,-,-,-,2
421800 TIJUCAS,-,12,12,29,46,50,251,188,25,17,18,5,653
421820 TIMBO,-,-,1,-,1,-,14,6,5,3,2,-,32
421830 TRES BARRAS,-,-,-,1,-,-,-,-,-,-,-,-,1
421850 TREZE TILIAS,-,-,-,-,-,-,2,-,-,-,-,-,2
421860 TROMBUDO CENTRAL,-,-,-,-,-,-,1,1,1,-,-,-,3
421870 TUBARAO,-,-,-,-,2,-,6,9,1,3,1,-,22
421875 TUNAPOLIS,-,1,-,-,-,2,6,6,1,2,1,-,19
421880 TURVO,-,-,-,-,-,-,1,1,-,-,-,-,2
421885 UNIAO DO OESTE,-,1,-,4,4,10,47,40,12,9,9,11,147
421890 URUBICI,-,-,-,-,-,-,2,1,-,-,-,-,3
421900 URUSSANGA,-,-,-,-,-,-,1,-,-,-,-,-,1
421920 VIDAL RAMOS,-,-,-,2,-,-,-,2,-,-,1,-,5
421930 VIDEIRA,-,-,-,-,-,1,1,3,1,1,1,1,9
421950 XANXERE,-,-,-,2,5,1,15,9,2,2,-,1,37
421960 XAVANTINA,-,-,-,-,2,2,5,11,1,-,4,1,26
421970 XAXIM,-,-,-,1,-,-,4,3,2,1,-,-,11
422000 BALNEARIO RINCAO,-,-,-,-,1,2,2,4,-,-,-,-,9
430005 AGUA SANTA,-,-,-,-,-,-,1,-,-,-,-,-,1
430010 AGUDO,-,1,1,6,3,-,9,13,2,-,-,-,35
430020 AJURICABA,-,-,1,1,2,2,5,5,1,-,-,-,17
430030 ALECRIM,-,-,-,4,4,1,7,6,2,1,-,-,25
430040 ALEGRETE,-,-,8,8,9,16,88,69,9,6,9,3,225
430050 ALPESTRE,-,-,-,1,2,1,5,4,-,-,1,1,15
430055 ALTO ALEGRE,-,-,-,-,-,-,1,3,-,-,-,-,4
430057 ALTO FELIZ,-,-,-,-,-,-,1,-,-,-,-,-,1
430060 ALVORADA,-,2,2,6,19,24,130,75,9,9,6,3,285
430064 AMETISTA DO SUL,-,1,-,-,-,1,-,1,-,-,-,-,3
430070 ANTA GORDA,-,-,2,5,5,4,37,21,8,9,15,4,110
430080 ANTONIO PRADO,-,-,-,-,-,-,1,-,-,-,-,-,1
430087 ARARICA,-,1,-,-,-,-,2,4,-,-,-,-,7
430100 ARROIO DO MEIO,-,-,1,-,2,-,7,1,-,-,-,-,11
430105 ARROIO DO SAL,-,-,-,-,-,-,-,-,-,-,1,-,1
430110 ARROIO DOS RATOS,-,-,-,-,1,-,1,-,-,-,-,-,2
430130 ARROIO GRANDE,-,-,-,-,-,-,-,-,-,-,1,-,1
430140 ARVOREZINHA,-,-,-,-,-,-,2,1,-,-,-,-,3
430150 AUGUSTO PESTANA,-,1,-,4,2,7,44,47,5,11,11,3,135
430155 AUREA,-,-,-,-,-,-,-,1,-,-,1,-,2
430160 BAGE,-,-,-,-,-,2,-,-,-,-,2,-,4
430163 BALNEARIO PINHAL,-,-,-,-,-,1,-,1,-,-,-,-,2
430170 BARAO DE COTEGIPE,-,-,-,-,-,-,-,-,-,1,-,-,1
430185 BARRA DO GUARITA,-,4,8,17,9,21,74,82,13,13,16,5,262
430190 BARRA DO RIBEIRO,-,-,-,1,-,-,-,-,-,-,-,-,1
430192 BARRA DO RIO AZUL,-,-,-,-,1,-,1,-,-,-,-,-,2
430195 BARRA FUNDA,-,-,2,2,2,1,7,7,2,1,4,-,28
430200 BARROS CASSAL,-,-,-,-,-,1,-,-,-,-,-,-,1
430205 BENJAMIN CONSTANT DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
430210 BENTO GONCALVES,-,-,1,3,15,11,73,69,8,4,7,-,191
430220 BOA VISTA DO BURICA,-,-,-,-,-,1,3,2,-,-,-,-,6
430222 BOA VISTA DO CADEADO,-,-,-,-,-,1,1,-,-,-,1,-,3
430225 BOA VISTA DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
430235 BOM PRINCIPIO,-,-,-,-,-,1,3,3,-,-,-,1,8
430237 BOM PROGRESSO,-,-,-,-,-,-,-,-,-,1,-,-,1
430240 BOM RETIRO DO SUL,-,-,-,-,-,7,17,20,-,1,-,-,45
430250 BOSSOROCA,-,-,-,-,-,-,-,1,1,-,-,-,2
430258 BOZANO,-,-,-,1,-,1,4,2,-,1,2,2,13
430265 BROCHIER,-,-,-,-,-,-,-,1,1,-,-,-,2
430270 BUTIA,-,-,-,-,-,-,-,1,-,-,-,-,1
430280 CACAPAVA DO SUL,-,-,-,1,-,-,5,2,-,-,-,-,8
430290 CACEQUI,-,-,-,2,-,2,3,2,-,-,-,-,9
430300 CACHOEIRA DO SUL,-,-,-,1,1,2,4,4,-,-,1,-,13
430310 CACHOEIRINHA,-,2,11,34,46,52,267,277,59,45,35,25,853
430320 CACIQUE DOBLE,-,-,-,-,-,-,1,-,1,-,-,-,2
430340 CAICARA,-,-,-,-,-,-,1,-,-,-,-,-,1
430350 CAMAQUA,-,-,-,1,-,1,-,-,-,-,-,-,2
430355 CAMARGO,-,-,-,-,-,-,-,-,1,-,-,-,1
430370 CAMPINA DAS MISSOES,-,-,-,-,-,-,-,1,-,1,-,-,2
430380 CAMPINAS DO SUL,-,-,-,-,2,-,5,2,-,1,-,-,10
430390 CAMPO BOM,-,1,6,5,4,11,46,26,1,4,2,3,109
430400 CAMPO NOVO,-,-,-,1,-,2,-,1,-,-,-,-,4
430420 CANDELARIA,-,-,-,-,-,-,2,-,-,-,-,-,2
430440 CANELA,-,-,-,-,-,-,1,1,-,-,1,-,3
430450 CANGUCU,-,-,-,-,-,-,-,1,-,-,-,-,1
430460 CANOAS,-,1,4,9,14,12,106,62,11,7,2,-,228
430463 CAPAO DA CANOA,-,-,1,1,3,3,12,5,1,2,-,-,28
430466 CAPAO DO LEAO,-,-,-,-,1,-,1,-,-,-,-,-,2
430467 CAPIVARI DO SUL,-,-,-,-,-,-,-,2,-,-,-,-,2
430468 CAPELA DE SANTANA,-,-,-,-,-,1,4,-,-,-,-,-,5
430469 CAPITAO,-,-,-,1,-,1,1,1,-,-,-,-,4
430470 CARAZINHO,-,-,-,1,3,3,24,26,2,8,1,1,69
430480 CARLOS BARBOSA,-,-,-,-,-,-,-,-,-,-,1,-,1
430495 CASEIROS,-,-,-,-,-,-,2,1,-,-,-,-,3
430500 CATUIPE,-,1,-,-,4,8,30,18,5,10,5,2,83
430510 CAXIAS DO SUL,-,1,2,2,1,-,11,16,2,2,3,1,41
430515 CERRO GRANDE,-,-,-,-,-,-,-,1,-,-,-,-,1
430520 CERRO LARGO,-,-,-,-,-,2,3,5,1,-,-,-,11
430530 CHAPADA,-,2,2,3,-,2,2,9,3,-,1,2,26
430535 CHARQUEADAS,-,-,-,1,-,-,6,3,-,-,-,-,10
430540 CHIAPETTA,-,-,-,-,1,-,1,4,1,-,-,-,7
430544 CHUVISCA,-,-,-,-,1,-,-,-,-,-,-,-,1
430545 CIDREIRA,-,-,-,-,1,1,1,-,-,-,-,-,3
430558 COLINAS,-,-,-,-,-,1,-,1,-,-,-,-,2
430560 COLORADO,-,-,-,-,2,-,2,1,1,-,4,1,11
430570 CONDOR,-,-,-,-,1,-,5,2,1,1,-,-,10
430580 CONSTANTINA,-,-,-,-,-,-,-,1,-,-,-,-,1
430585 COQUEIROS DO SUL,-,-,-,-,-,-,-,-,1,-,-,-,1
430587 CORONEL BARROS,-,-,1,-,-,3,18,11,-,2,-,-,35
430590 CORONEL BICACO,-,-,1,1,2,-,3,-,2,2,1,-,12
430597 COXILHA,-,-,-,1,-,-,1,1,-,-,-,-,3
430600 CRISSIUMAL,-,-,-,-,-,-,6,2,2,-,-,-,10
430607 CRISTAL DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
430610 CRUZ ALTA,-,-,2,3,5,6,41,21,2,3,4,1,88
430620 CRUZEIRO DO SUL,-,1,1,1,-,1,4,11,1,1,-,-,21
430632 DERRUBADAS,-,-,-,-,-,-,-,-,-,-,1,-,1
430637 DILERMANDO DE AGUIAR,-,-,-,1,1,1,1,2,-,1,-,1,8
430640 DOIS IRMAOS,-,-,1,-,1,2,17,9,3,2,2,-,37
430642 DOIS IRMAOS DAS MISSOES,-,-,-,-,-,-,-,1,-,-,-,-,1
430645 DOIS LAJEADOS,-,-,-,-,-,1,-,1,-,-,-,-,2
430660 DOM PEDRITO,-,-,-,-,-,-,1,-,-,-,-,-,1
430670 DONA FRANCISCA,-,-,-,-,-,-,3,-,-,-,-,-,3
430673 DOUTOR MAURICIO CARDOSO,-,-,-,-,-,-,-,1,-,-,-,-,1
430675 DOUTOR RICARDO,-,-,-,-,2,2,6,4,3,1,5,3,26
430676 ELDORADO DO SUL,-,-,1,1,4,1,21,25,-,-,1,-,54
430680 ENCANTADO,-,10,12,67,85,103,427,481,175,162,223,96,1841
430690 ENCRUZILHADA DO SUL,-,-,-,-,1,-,-,1,-,-,-,-,2
430693 ENTRE-IJUIS,-,2,1,-,10,1,11,20,6,2,4,-,57
430695 ENTRE RIOS DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
430700 ERECHIM,-,1,1,1,5,2,22,17,4,1,3,-,57
430750 ESPUMOSO,-,-,1,-,1,-,-,1,-,2,-,1,6
430755 ESTACAO,-,-,-,-,2,1,1,5,1,1,2,-,13
430760 ESTANCIA VELHA,-,-,-,3,2,5,36,20,5,6,5,3,85
430770 ESTEIO,-,1,1,1,1,5,42,21,2,5,3,-,82
430780 ESTRELA,-,2,5,29,41,57,275,294,77,59,64,14,917
430783 EUGENIO DE CASTRO,-,-,-,-,-,-,-,-,-,1,-,-,1
430790 FARROUPILHA,-,-,-,-,-,-,3,3,1,-,-,-,7
430800 FAXINAL DO SOTURNO,-,-,-,-,-,-,1,1,1,-,-,-,3
430807 FAZENDA VILANOVA,-,-,-,1,1,1,1,-,-,-,-,-,4
430810 FELIZ,-,-,-,-,1,-,-,-,1,1,-,-,3
430820 FLORES DA CUNHA,-,-,-,-,-,-,1,1,-,-,-,-,2
430825 FLORIANO PEIXOTO,-,-,-,-,-,-,1,-,-,-,-,-,1
430830 FONTOURA XAVIER,-,-,1,-,-,-,-,-,-,-,-,-,1
430840 FORMIGUEIRO,-,-,-,1,-,-,2,-,-,-,-,-,3
430845 FORTALEZA DOS VALOS,-,-,-,1,2,1,-,5,1,-,2,-,12
430850 FREDERICO WESTPHALEN,-,-,-,2,1,6,14,15,4,2,3,2,49
430860 GARIBALDI,-,-,-,-,-,-,2,-,-,-,-,-,2
430890 GETULIO VARGAS,-,-,-,-,-,-,2,1,-,-,-,-,3
430900 GIRUA,-,-,1,-,-,-,1,1,1,-,-,-,4
430910 GRAMADO,-,-,1,5,2,4,12,7,2,-,-,-,33
430920 GRAVATAI,-,3,6,17,19,30,158,108,12,16,11,1,381
430930 GUAIBA,-,-,1,-,2,1,9,6,2,2,-,-,23
430940 GUAPORE,-,1,-,2,3,2,28,24,5,6,2,3,76
430950 GUARANI DAS MISSOES,-,-,-,-,-,1,1,-,-,-,-,1,3
430955 HARMONIA,-,-,-,-,-,-,-,1,-,-,-,-,1
430960 HORIZONTINA,-,-,-,-,3,1,2,5,1,1,1,-,14
430970 HUMAITA,-,-,-,-,-,-,1,2,1,-,-,-,4
430980 IBIACA,-,-,-,-,-,-,2,-,-,-,-,-,2
430990 IBIRAIARAS,-,-,-,1,-,-,-,-,-,-,-,-,1
430995 IBIRAPUITA,-,-,-,-,-,-,-,1,-,-,-,-,1
431000 IBIRUBA,-,2,6,34,41,53,233,233,72,66,96,41,877
431010 IGREJINHA,-,1,1,-,2,3,7,8,-,1,1,1,25
431020 IJUI,1,33,68,185,312,318,1427,1358,298,240,358,141,4739
431030 ILOPOLIS,-,-,-,-,-,-,-,-,-,1,-,-,1
431033 IMBE,-,-,-,-,1,1,1,2,-,-,3,-,8
431036 IMIGRANTE,-,-,-,-,-,1,-,1,-,-,-,-,2
431040 INDEPENDENCIA,-,1,-,2,1,4,15,16,4,2,3,1,49
431041 INHACORA,-,-,-,-,-,-,-,2,-,-,-,-,2
431043 IPE,-,-,-,-,1,-,-,-,-,-,-,-,1
431050 IRAI,-,-,1,-,2,-,3,2,2,-,1,-,11
431053 ITAARA,-,1,-,-,8,4,17,9,2,2,-,-,43
431060 ITAQUI,-,-,-,-,1,-,1,2,-,-,-,-,4
431075 IVORA,-,-,1,-,-,-,-,-,-,-,-,-,1
431080 IVOTI,-,5,5,24,53,64,263,391,81,64,59,19,1028
431085 JABOTICABA,-,-,-,-,-,-,-,1,-,-,-,-,1
431090 JACUTINGA,-,-,-,1,-,-,-,-,-,-,-,-,1
431100 JAGUARAO,-,-,-,-,-,-,1,1,-,1,-,-,3
431110 JAGUARI,-,2,3,12,16,18,96,104,27,32,48,32,390
431112 JAQUIRANA,-,-,-,-,-,-,-,-,-,-,1,-,1
431115 JOIA,-,2,2,20,22,15,90,115,31,21,31,18,367
431120 JULIO DE CASTILHOS,-,-,-,1,2,-,4,3,-,-,1,-,11
431123 LAGOA BONITA DO SUL,-,-,-,-,-,-,1,1,-,-,-,-,2
431125 LAGOAO,-,-,-,4,2,1,1,1,-,-,-,-,9
431127 LAGOA DOS TRES CANTOS,-,-,-,-,-,-,-,2,-,-,-,-,2
431130 LAGOA VERMELHA,-,-,2,-,2,-,3,3,-,-,-,-,10
431140 LAJEADO,-,-,1,9,20,18,108,74,23,16,23,4,296
431150 LAVRAS DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
431162 LINDOLFO COLLOR,-,-,-,2,11,8,55,55,19,8,9,1,168
431170 MACHADINHO,-,-,2,2,2,4,16,24,4,4,2,-,60
431171 MACAMBARA,-,-,-,-,-,-,2,2,-,-,-,-,4
431175 MANOEL VIANA,-,-,-,-,-,-,3,1,-,-,-,-,4
431177 MAQUINE,-,-,-,-,-,-,-,1,1,-,-,-,2
431179 MARATA,-,-,-,-,-,-,-,1,1,-,-,-,2
431180 MARAU,-,1,-,1,8,8,18,27,4,1,8,1,77
431190 MARCELINO RAMOS,-,-,-,-,1,-,3,2,2,2,3,1,14
431200 MARIANO MORO,-,-,-,-,-,-,-,1,-,-,-,-,1
431205 MARQUES DE SOUZA,-,-,-,-,-,-,1,-,-,1,-,-,2
431210 MATA,-,-,-,-,-,-,3,2,-,-,-,-,5
431213 MATO CASTELHANO,-,-,1,-,1,-,-,1,1,-,-,-,4
431215 MATO LEITAO,-,-,-,-,-,1,2,-,-,-,-,-,3
431220 MAXIMILIANO DE ALMEIDA,-,-,-,-,-,-,1,2,-,-,-,-,3
431230 MIRAGUAI,-,-,-,-,-,-,4,1,1,-,-,-,6
431240 MONTENEGRO,-,-,2,-,2,-,6,7,3,-,2,1,23
431242 MORMACO,-,-,-,1,2,1,12,5,-,1,1,2,25
431244 MORRINHOS DO SUL,-,-,-,-,-,1,-,1,-,-,-,-,2
431247 MORRO REUTER,-,-,-,-,-,-,1,-,-,1,-,-,2
431250 MOSTARDAS,-,-,-,-,-,-,1,-,1,-,1,-,3
431260 MUCUM,-,-,4,12,5,14,56,72,14,20,33,17,247
431265 NAO-ME-TOQUE,-,1,5,18,43,52,220,243,65,38,67,23,775
431267 NICOLAU VERGUEIRO,-,-,-,-,-,-,2,-,-,-,2,-,4
431270 NONOAI,-,-,-,-,-,-,1,2,1,2,1,-,7
431275 NOVA ALVORADA,-,-,-,2,2,1,20,15,8,7,6,7,68
431280 NOVA ARACA,-,-,-,-,-,-,1,1,-,-,-,-,2
431290 NOVA BASSANO,-,-,-,-,2,-,7,6,1,-,1,2,19
431300 NOVA BRESCIA,-,-,-,4,-,2,18,15,3,3,8,-,53
431301 NOVA CANDELARIA,-,-,-,-,-,-,2,-,-,1,-,-,3
431303 NOVA ESPERANCA DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
431306 NOVA HARTZ,-,-,-,-,-,2,6,7,-,-,-,-,15
431310 NOVA PALMA,-,1,2,3,7,17,43,54,20,11,15,2,175
431320 NOVA PETROPOLIS,-,-,-,1,-,-,4,1,-,-,-,-,6
431330 NOVA PRATA,-,-,-,-,-,1,2,1,-,-,1,-,5
431333 NOVA RAMADA,-,-,-,-,-,1,3,2,2,1,-,-,9
431337 NOVA SANTA RITA,-,-,-,-,-,1,8,5,-,-,-,-,14
431339 NOVO CABRAIS,-,-,-,2,1,-,-,2,-,-,-,-,5
431340 NOVO HAMBURGO,-,16,48,146,188,176,812,594,107,66,69,20,2242
431342 NOVO MACHADO,-,-,-,-,-,-,1,1,-,-,-,-,2
431346 NOVO XINGU,-,-,-,-,-,-,-,-,-,-,1,-,1
431349 NOVO BARREIRO,-,-,2,2,5,13,26,30,4,5,10,5,102
431350 OSORIO,-,-,-,-,-,-,1,1,-,-,2,-,4
431360 PAIM FILHO,-,-,-,-,-,-,2,1,-,-,-,-,3
431370 PALMEIRA DAS MISSOES,-,1,2,2,4,2,19,14,3,3,2,-,52
431380 PALMITINHO,-,-,-,-,-,-,1,-,-,-,-,-,1
431390 PANAMBI,-,-,-,-,5,6,17,19,4,5,4,1,61
431402 PARAISO DO SUL,-,-,-,-,-,-,2,-,-,-,-,-,2
431405 PAROBE,-,3,2,14,26,14,87,88,16,11,22,2,285
431407 PASSO DO SOBRADO,-,-,-,1,-,-,1,1,-,-,-,-,3
431410 PASSO FUNDO,1,7,31,46,69,39,303,251,41,30,54,10,882
431415 PAVERAMA,-,-,-,-,-,-,1,1,-,-,-,-,2
431430 PEJUCARA,-,-,1,1,3,-,3,8,2,-,7,1,26
